deposit_year,deposit_loc,deposit_category,weight
2010,En dépôt depuis le 18/11/2010 : Représentation permanente de la France auprès de l'ONU et des Organisations internationales (Vienne),dépôt non culturel,0.0008084074373484236
2015,En dépôt depuis le 20/03/2015 : Préfecture des Hauts-de-Seine (Nanterre),dépôt non culturel,0.0008084074373484236
1994,En dépôt depuis le 05/08/1994 : Ministère de l'intérieur (Paris),dépôt non culturel,0.0014992503748125937
2007,En dépôt depuis le 29/08/2007 : Tribunal administratif de Paris,dépôt non culturel,0.0011001100110011
2010,En dépôt depuis le 19/04/2010 : Ministère des affaires étrangères (Paris),dépôt non culturel,0.0008084074373484236
2011,En dépôt depuis le 16/06/2011 : Préfecture de Paris et d'Ile de France,dépôt non culturel,0.0008084074373484236
2011,En dépôt depuis le 16/02/2011 : Musée des Beaux-Arts de Dole,dépôt culturel,0.0008084074373484236
1988,En dépôt depuis le 10/11/1988 : Ambassade de France (Guatemala),dépôt non culturel,0.0012970168612191958
2011,En dépôt depuis le 29/09/2011 : Commission de Régulation de l'Energie (Paris),dépôt non culturel,0.0008084074373484236
2008,En dépôt depuis le 10/12/2008 : Cour administrative d'appel de Versailles,dépôt non culturel,0.0010193679918450561
2015,En dépôt depuis le 05/01/2015 : Préfecture des Hauts-de-Seine (Nanterre),dépôt non culturel,0.0008084074373484236
1987,En dépôt depuis 1987 : Musée Cantini (Marseille),dépôt culturel,0.001579778830963665
2003,En dépôt depuis le 01/02/2003 : CAPC musée d'art contemporain de Bordeaux,dépôt culturel,0.0007861635220125787
1988,"En dépôt depuis 1988 : Ministère délégué auprès du Ministre de la solidarité, de la santé et de la protection sociale chargé des personnes agées (Paris)",dépôt non culturel,0.0012970168612191958
1988,En dépôt depuis 1988 : Secrétariat d'Etat auprès du Premier Ministre chargé du plan (Paris),dépôt non culturel,0.0012970168612191958
1988,En dépôt depuis le 16/02/1988 : I.M.A.O. Art-crise (Paris),dépôt culturel,0.0012970168612191958
1991,En dépôt depuis 10/1991 : Carré d'Art - Musée d'Art Contemporain (Nîmes),dépôt culturel,0.0010649627263045794
2004,En dépôt depuis le 30/07/2004 : Ambassade de France (Ouagadougou),dépôt non culturel,0.0011135857461024498
2010,En dépôt depuis le 10/11/2010 : Ambassade de France (Riga),dépôt non culturel,0.0008084074373484236
2008,En dépôt depuis le 10/09/2008 : Présidence de la République (Paris),dépôt non culturel,0.0010193679918450561
2009,En dépôt depuis le 04/09/2009 : Conseil supérieur de l'audiovisuel (Paris),dépôt non culturel,0.0010741138560687433
2003,En dépôt depuis le 16/12/2003 : Musée des Beaux-Arts (Angers),dépôt culturel,0.0007861635220125787
1989,En dépôt depuis 1989 : Ministère de la fonction publique et de la réforme de l'Etat (Paris),dépôt non culturel,0.0010050251256281408
1987,En dépôt depuis le 24/09/1987 : Musée de Cambrai,dépôt culturel,0.001579778830963665
1989,En dépôt depuis le 31/10/1989 : Musée d'art et d'histoire de Meudon,dépôt culturel,0.0010050251256281408
1989,En dépôt depuis le 27/06/1989 : Assemblée nationale (Paris),dépôt non culturel,0.0010050251256281408
1993,En dépôt depuis le 06/12/1993 : Préfecture de l'Oise (Beauvais),dépôt non culturel,0.0007518796992481203
1990,"En dépôt depuis le 02/02/1990 : Ministère de l'économie, des finances et de l'industrie (Paris)",dépôt non culturel,0.0012195121951219512
1988,En dépôt depuis 1988 : Ministre délégué auprès du Ministre de l'industrie chargé du tourisme (Paris),dépôt non culturel,0.0012970168612191958
1992,En dépôt depuis le 17/12/1992 : Mairie de Maisons-Laffitte,dépôt non culturel,0.001142857142857143
1989,En dépôt depuis 1989 : Ministère des affaires étrangères (Paris),dépôt non culturel,0.0010050251256281408
1988,En dépôt depuis 1988 : Conseil d'Etat (Paris),dépôt non culturel,0.0012970168612191958
2003,En dépôt depuis le 16/12/2003 : Musée des Beaux-Arts (Angers),dépôt culturel,0.0007861635220125787
1988,En dépôt depuis le 20/05/1988 : Mairie de Servant,dépôt non culturel,0.0012970168612191958
1990,En dépôt depuis le 18/01/1990 : Consulat général de France (Londres),dépôt non culturel,0.0012195121951219512
1988,En dépôt depuis 1988 : Ministre délégué auprès du Ministre de l'industrie chargé du tourisme (Paris),dépôt non culturel,0.0012970168612191958
1987,En dépôt depuis 1987 : Service d'information du gouvernement (Paris),dépôt non culturel,0.001579778830963665
1987,En dépôt depuis le 04/06/1987 : Musée municipal A.G. Poulain (Vernon),dépôt culturel,0.001579778830963665
1992,En dépôt depuis 1992 : Conseil constitutionnel (Paris),dépôt non culturel,0.001142857142857143
,En dépôt : Consulat général de France (Londres),dépôt non culturel,
2011,En dépôt depuis le 15/02/2011 : Musée de Picardie (Amiens),dépôt culturel,0.0008084074373484236
1995,En dépôt depuis 03/1995 : Musée d'Art Moderne et d'Art Contemporain de Nice,dépôt culturel,0.0017094017094017094
1992,En dépôt depuis le 21/10/1992 : Consulat général de France (Barcelone),dépôt non culturel,0.001142857142857143
1988,En dépôt depuis le 10/11/1988 : Ambassade de France (Guatemala),dépôt non culturel,0.0012970168612191958
1988,"En dépôt depuis le 29/07/1988 : Direction des Parcs, Jardins et Espaces Verts de la Ville de Paris",dépôt non culturel,0.0012970168612191958
,En dépôt : Préfecture du Morbihan (Vannes),dépôt non culturel,
2014,En dépôt depuis le 20/02/2014 : Musée des beaux-arts (Rennes),dépôt culturel,0.0008084074373484236
1986,"En dépôt depuis le 13/02/1986 : Ministère de l'Equipement, des transports et du logement (Paris)",dépôt non culturel,0.0020833333333333333
,En dépôt : Musée d'Angoulême,dépôt culturel,
,"En dépôt depuis le 01/01/1000 : Direction des Parcs, Jardins et Espaces Verts de la Ville de Paris",dépôt non culturel,NaN
2009,En dépôt depuis le 24/07/2009 : Ministère des Affaires Etrangères et Européennes - Direction Générale (La Courneuve),dépôt non culturel,0.0010741138560687433
2009,En dépôt depuis le 09/04/2009 : Etablissement public pour l'aménagement de la région de la Défense (Puteaux),dépôt non culturel,0.0010741138560687433
2015,En dépôt depuis le 05/11/2015 : Frac Picardie (Amiens),dépôt culturel,0.0008084074373484236
2003,En dépôt depuis le 06/06/2003 : Ambassade de France (Kingston),dépôt non culturel,0.0007861635220125787
1990,En dépôt depuis le 29/05/1990 : Tribunal de Grande Instance (Paris),dépôt non culturel,0.0012195121951219512
1990,En dépôt depuis le 29/05/1990 : Tribunal de Grande Instance (Paris),dépôt non culturel,0.0012195121951219512
1987,En dépôt depuis 1987 : Musée Cantini (Marseille),dépôt culturel,0.001579778830963665
2014,En dépôt depuis le 26/05/2014 : Cour des comptes (Paris),dépôt non culturel,0.0008084074373484236
1988,En dépôt depuis le 09/12/1988 : Bibliothèque nationale - Site Richelieu (Paris),dépôt culturel,0.0012970168612191958
1989,En dépôt depuis le 29/06/1989 : Musée de la Cohue Musée des Beaux-Arts de Vannes,dépôt culturel,0.0010050251256281408
2004,En dépôt depuis le 30/07/2004 : Ambassade de France (Ouagadougou),dépôt non culturel,0.0011135857461024498
1995,En dépôt depuis le 27/07/1995 : Direction des archives de France (Paris),dépôt non culturel,0.0017094017094017094
2012,En dépôt depuis le 11/05/2012 : Premier Ministre / Secrétariat général du gouvernement (Paris),dépôt non culturel,0.0008084074373484236
2012,"En dépôt depuis le 09/07/2012 : Ministère de l'écologie, du développement durable des transports et du logement (Paris)",dépôt non culturel,0.0008084074373484236
2007,En dépôt depuis le 05/07/2007 : Présidence de la République (Paris),dépôt non culturel,0.0011001100110011
2009,En dépôt depuis le 17/04/2009 : Musée des Beaux-Arts de Dole,dépôt culturel,0.0010741138560687433
